Sports,SUV,Wagon,Minivan,Pickup,AWD,RWD,Retail,Dealer,Engine,Cylinders,Horsepower,CityMPG,HighwayMPG,Weight,Wheelbase,Length,Width
Buick LeSabre Limited,0,0,0,0,0,0,0,32245,29566,3.8,6,205,20,29,3591,112,200,74
Buick Park Avenue,0,0,0,0,0,0,0,35545,32244,3.8,6,205,20,29,3778,114,207,75
Buick Park Avenue Ultra,0,0,0,0,0,0,0,40720,36927,3.8,6,240,18,28,3909,114,207,75
Buick Rainier,0,1,0,0,0,1,0,37895,34357,4.2,6,275,15,21,4600,113,193,75
Buick Regal GS,0,0,0,0,0,0,0,28345,26047,3.8,6,240,18,28,3536,109,196,73
Buick Regal LS,0,0,0,0,0,0,0,24895,22835,3.8,6,200,20,30,3461,109,196,73
Buick Rendezvous CX,0,1,0,0,0,0,0,26545,24085,3.4,6,185,19,26,4024,112,187,74
Cadillac CTS VVT,0,0,0,0,0,0,1,30835,28575,3.6,6,255,18,25,3694,113,190,71
Cadillac Deville,0,0,0,0,0,0,0,45445,41650,4.6,8,275,18,26,3984,115,207,74
Cadillac Deville DTS,0,0,0,0,0,0,0,50595,46362,4.6,8,300,18,26,4044,115,207,74
Cadillac Escaladet,0,1,0,0,0,0,0,52795,48377,5.3,8,295,14,18,5367,116,199,79
Cadillac Seville,0,0,0,0,0,0,0,47955,43841,4.6,8,275,18,26,3992,112,201,75
Cadillac SRX V8,0,1,0,0,0,0,0,46995,43523,4.6,8,320,16,21,4302,116,195,73
Cadillac XLR,1,0,0,0,0,0,1,76200,70546,4.6,8,320,17,25,3647,106,178,72
Chevrolet Aveo,0,0,0,0,0,0,0,11690,10965,1.6,4,103,28,34,2370,98,167,66
Chevrolet Astro,0,0,0,1,0,1,0,26395,23954,4.3,6,190,14,17,4605,111,190,78
Chevrolet Aveo LS,0,0,0,0,0,0,0,12585,11802,1.6,4,103,28,34,2348,98,153,66
Chevrolet Cavalier two-door,0,0,0,0,0,0,0,14610,13697,2.2,4,140,26,37,2617,104,183,69
Chevrolet Cavalier four-door,0,0,0,0,0,0,0,14810,13884,2.2,4,140,26,37,2676,104,183,68
Chevrolet Cavalier LS,0,0,0,0,0,0,0,16385,15357,2.2,4,140,26,37,2617,104,183,69
Chevrolet Corvette,1,0,0,0,0,0,1,44535,39068,5.7,8,350,18,25,3246,105,180,74
Chevrolet Corvette convertible,1,0,0,0,0,0,1,51535,45193,5.7,8,350,18,25,3248,105,180,74
Chevrolet Impala,0,0,0,0,0,0,0,21900,20095,3.4,6,180,21,32,3465,111,200,73
Chevrolet Impala LS,0,0,0,0,0,0,0,25000,22931,3.8,6,200,20,30,3476,111,200,73
Chevrolet Impala SS,0,0,0,0,0,0,0,27995,25672,3.8,6,240,18,28,3606,111,200,73
Chevrolet Malibu,0,0,0,0,0,0,0,18995,17434,2.2,4,145,24,34,3174,106,188,70
Chevrolet Malibu LS,0,0,0,0,0,0,0,20370,18639,3.5,6,200,22,30,3297,106,188,70
Chevrolet Malibu LT,0,0,0,0,0,0,0,23495,21551,3.5,6,200,23,32,3315,106,188,70
Chevrolet Malibu Maxx,0,0,1,0,0,0,0,22225,20394,3.5,6,200,22,30,3458,112,188,70
Chevrolet Monte Carlo LS,0,0,0,0,0,0,0,21825,20026,3.4,6,180,21,32,3340,111,198,73
Chevrolet Monte Carlo SS,0,0,0,0,0,0,0,24225,22222,3.8,6,200,18,28,3434,111,198,73
Chevrolet Suburban 1500 LT,0,1,0,0,0,0,0,42735,37422,5.3,8,295,14,18,4947,130,219,79
Chevrolet Tahoe LT,0,1,0,0,0,1,0,41465,36287,5.3,8,295,14,18,5050,116,197,79
Chevrolet Tracker,0,1,0,0,0,0,0,20255,19108,2.5,6,165,19,22,2866,98,163,67
Chevrolet TrailBlazer LT,0,1,0,0,0,0,0,30295,27479,4.2,6,275,16,21,4425,113,192,75
Chevrolet Venture LS,0,0,0,1,0,0,0,27020,24518,3.4,6,185,19,26,3699,112,187,72
Chrysler 300M,0,0,0,0,0,0,0,29865,27797,3.5,6,250,18,27,3581,113,198,74
Chrysler 300M Special Edition,0,0,0,0,0,0,0,33295,30884,3.5,6,255,18,27,3650,113,198,74
Chrysler Concorde LX,0,0,0,0,0,0,0,24130,22452,2.7,6,200,21,29,3479,113,208,74
Chrysler Concorde LXi,0,0,0,0,0,0,0,26860,24909,3.5,6,232,19,27,3548,113,208,74
Chrysler Crossfire,1,0,0,0,0,0,1,34495,32033,3.2,6,215,17,25,3060,95,160,70
Chrysler Pacifica,0,0,1,0,0,0,1,31230,28725,3.5,6,250,17,23,4675,116,199,79
Chrysler PT Cruiser,0,0,0,0,0,0,0,17985,16919,2.4,4,150,22,29,3101,103,169,67
Chrysler PT Cruiser GT,0,0,0,0,0,0,0,25955,24172,2.4,4,220,21,27,3217,103,169,67
Chrysler PT Cruiser Limited,0,0,0,0,0,0,0,22000,20573,2.4,4,150,22,29,3105,103,169,67
Chrysler Sebring,0,0,0,0,0,0,0,19090,17805,2.4,4,150,22,30,3173,108,191,71
Chrysler Sebring Touring,0,0,0,0,0,0,0,21840,20284,2.7,6,200,21,28,3222,108,191,71
Chrysler Sebring convertible,0,0,0,0,0,0,0,25215,23451,2.4,4,150,22,30,3357,106,194,64
Chrysler Sebring Limited convertible,0,0,0,0,0,0,0,30950,28613,2.7,6,200,21,28,3448,106,194,69
Chrysler Town and Country LX,0,0,0,1,0,0,0,27490,25371,3.3,6,180,19,26,4068,119,201,79
Chrysler Town and Country Limited,0,0,0,1,0,0,0,38380,35063,3.8,6,215,18,25,4331,119,201,79
Dodge Caravan SE,0,0,0,1,0,0,0,21795,20508,2.4,4,150,20,26,3862,113,189,79
Dodge Durango SLT,0,1,0,0,0,1,0,32235,29472,4.7,8,230,15,21,4987,119,201,76
Dodge Grand Caravan SXT,0,0,0,1,0,1,0,32660,29812,3.8,6,215,18,25,4440,119,201,79
Dodge Intrepid ES,0,0,0,0,0,0,0,24885,23058,3.5,6,232,18,27,3487,113,204,75
Dodge Intrepid SE,0,0,0,0,0,0,0,22035,20502,2.7,6,200,21,29,3469,113,204,75
Dodge Neon SE,0,0,0,0,0,0,0,13670,12849,2.0,4,132,29,36,2581,105,174,67
Dodge Neon SXT,0,0,0,0,0,0,0,15040,14086,2.0,4,132,29,36,2626,105,174,67
Dodge Stratus SXT,0,0,0,0,0,0,0,18820,17512,2.4,4,150,21,28,3182,108,191,71
Dodge Stratus SE,0,0,0,0,0,0,0,20220,18821,2.4,4,150,21,28,3175,108,191,71
Ford Crown Victoria,0,0,0,0,0,0,1,24345,22856,4.6,8,224,17,25,4057,115,212,78
Ford Crown Victoria LX,0,0,0,0,0,0,1,27370,25105,4.6,8,224,17,25,4057,115,212,78
Ford Crown Victoria LX Sport,0,0,0,0,0,0,1,30315,27756,4.6,8,239,17,25,4057,115,212,78
Ford Escape XLS,0,1,0,0,0,1,0,22515,20907,3.0,6,201,18,23,3346,103,173,70
Ford Expedition 4.6 XLT,0,1,0,0,0,0,0,34560,30468,4.6,8,232,15,19,5000,119,206,79
Ford Explorer XLT V6,0,1,0,0,0,1,0,29670,26983,4.0,6,210,15,20,4463,114,190,72
Ford Focus LX,0,0,0,0,0,0,0,13730,12906,2.0,4,110,27,36,2606,103,168,67
Ford Focus SE,0,0,0,0,0,0,0,15460,14496,2.0,4,130,26,33,2606,103,168,67
Ford Focus SVT,0,0,0,0,0,0,0,19135,17878,2.0,4,170,21,28,2750,103,168,67
Ford Focus ZTW,0,0,1,0,0,0,0,17475,16375,2.0,4,130,26,33,2702,103,178,67
Ford Focus ZX5,0,0,0,0,0,0,0,15580,14607,2.0,4,130,26,33,2691,103,168,67
Ford Focus ZX3,0,0,0,0,0,0,0,13270,12482,2.0,4,130,26,33,2612,103,168,67
Ford Freestar SE,0,0,0,1,0,0,0,26930,24498,3.9,6,193,17,23,4275,121,201,77
Ford Mustang,1,0,0,0,0,0,1,18345,16943,3.8,6,193,20,29,3290,101,183,73
Ford Mustang GT Premium,1,0,0,0,0,0,1,29380,26875,4.6,8,260,17,25,3347,101,183,73
Ford Taurus LX,0,0,0,0,0,0,0,20320,18881,3.0,6,155,20,27,3306,109,198,73
Ford Taurus SE,0,0,1,0,0,0,0,22290,20457,3.0,6,155,19,26,3497,109,198,73
Ford Taurus SES Duratec,0,0,0,0,0,0,0,22735,20857,3.0,6,201,19,26,3313,109,198,73
Ford Thunderbird Deluxe,1,0,0,0,0,0,0,37530,34483,3.9,8,280,17,24,3780,107,186,72
GMC Envoy XUV SLE,0,1,0,0,0,0,0,31890,28922,4.2,6,275,15,19,4945,129,208,75
GMC Safari SLE,0,0,0,1,0,0,1,25640,23215,4.3,6,190,16,20,4309,111,190,78
GMC Yukon 1500 SLE,0,1,0,0,0,0,0,35725,31361,4.8,8,285,16,19,5042,116,199,79
GMC Yukon XL 2500 SLT,0,1,0,0,0,1,0,46265,40534,6.0,8,325,13,17,6133,130,219,79
Honda Accord EX,0,0,0,0,0,0,0,22260,20080,2.4,4,160,26,34,3047,105,188,71
Honda Accord EX V6,0,0,0,0,0,0,0,26960,24304,3.0,6,240,21,30,3294,105,188,71
Honda Accord LX,0,0,0,0,0,0,0,19860,17924,2.4,4,160,26,34,2994,105,188,71
Honda Accord LX V6,0,0,0,0,0,0,0,23760,21428,3.0,6,240,21,30,3349,108,190,72
Honda Civic EX,0,0,0,0,0,0,0,17750,16265,1.7,4,127,32,37,2601,103,175,68
Honda Civic DX,0,0,0,0,0,0,0,13270,12175,1.7,4,115,32,38,2432,103,175,67
Honda Civic HX,0,0,0,0,0,0,0,14170,12996,1.7,4,117,36,44,2500,103,175,67
Honda Civic LX,0,0,0,0,0,0,0,15850,14531,1.7,4,115,32,38,2513,103,175,68
Honda Civic Si,0,0,0,0,0,0,0,19490,17849,2.0,4,160,26,30,2782,101,166,67
Honda Civic Hybrid,0,0,0,0,0,0,0,20140,18451,1.4,4,93,46,51,2732,103,175,68
Honda CR-V LX,0,1,0,0,0,1,0,19860,18419,2.4,4,160,21,25,3258,103,179,70
Honda Element LX,0,1,0,0,0,1,0,18690,17334,2.4,4,160,21,24,3468,101,167,72
Honda Insight,0,0,0,0,0,0,0,19110,17911,2.0,3,73,60,66,1850,95,155,67
Honda Odyssey EX,0,0,0,1,0,0,0,27450,24744,3.5,6,240,18,25,4365,118,201,76
Honda Odyssey LX,0,0,0,1,0,0,0,24950,22498,3.5,6,240,18,25,4310,118,201,76
Honda Pilot LX,0,1,0,0,0,1,0,27560,24843,3.5,6,240,17,22,4387,106,188,77
Honda S2000,1,0,0,0,0,0,1,33260,29965,2.2,4,240,20,25,2835,95,162,69
Hummer H2,0,1,0,0,0,1,0,49995,45815,6.0,8,316,10,12,6400,123,190,81
Hyundai Accent,0,0,0,0,0,0,0,10539,10107,1.6,4,103,29,33,2255,96,167,66
Hyundai Accent GL,0,0,0,0,0,0,0,11839,11116,1.6,4,103,29,33,2290,96,167,66
Hyundai Accent GT,0,0,0,0,0,0,0,11939,11209,1.6,4,103,29,33,2339,96,167,66
Hyundai Elantra GLS,0,0,0,0,0,0,0,13839,12781,2.0,4,138,26,34,2635,103,178,68
Hyundai Elantra GT,0,0,0,0,0,0,0,15389,14207,2.0,4,138,26,34,2635,103,178,68
Hyundai Elantra GT hatch,0,0,0,0,0,0,0,15389,14207,2.0,4,138,26,34,2698,103,178,68
Hyundai Santa Fe GLS,0,1,0,0,0,0,0,21589,20201,2.7,6,173,20,26,3549,103,177,73
Hyundai Sonata GLS,0,0,0,0,0,0,0,19339,17574,2.7,6,170,19,27,3217,106,187,72
Hyundai Sonata LX,0,0,0,0,0,0,0,20339,18380,2.7,6,170,19,27,3217,106,187,72
Hyundai Tiburon GT V6,1,0,0,0,0,0,0,18739,17101,2.7,6,172,19,26,3023,100,173,69
Hyundai XG350,0,0,0,0,0,0,0,24589,22055,3.5,6,194,17,26,3651,108,192,72
Hyundai XG350 L,0,0,0,0,0,0,0,26189,23486,3.5,6,194,17,26,3651,108,192,72
Infiniti FX35,0,0,1,0,0,0,1,34895,31756,3.5,6,280,16,22,4056,112,189,76
Infiniti FX45,0,0,1,0,0,1,0,36395,33121,4.5,8,315,15,19,4309,112,189,76
Infiniti G35,0,0,0,0,0,0,1,28495,26157,3.5,6,260,18,26,3336,112,187,69
Infiniti G35 Sport Coupe,0,0,0,0,0,0,1,29795,27536,3.5,6,280,18,26,3416,112,182,72
Infiniti G35 AWD,0,0,0,0,0,1,0,32445,29783,3.5,6,260,18,26,3677,112,187,69
Infiniti I35,0,0,0,0,0,0,0,31145,28320,3.5,6,255,19,26,3306,108,194,70
Infiniti M45,0,0,0,0,0,0,1,42845,38792,4.5,8,340,17,23,3851,110,197,70
Infiniti Q45 Luxury,0,0,0,0,0,0,1,52545,47575,4.5,8,340,17,23,3977,113,200,73
Isuzu Ascender S,0,1,0,0,0,1,0,31849,29977,4.2,6,275,15,20,4967,129,208,76
Isuzu Rodeo S,0,1,0,0,0,0,0,20449,19261,3.2,6,193,17,21,3836,106,178,70
Jaguar S-Type 3.0,0,0,0,0,0,0,1,43895,40004,3.0,6,235,18,26,3777,115,192,72
Jaguar S-Type 4.2,0,0,0,0,0,0,1,49995,45556,4.2,8,294,18,28,3874,115,192,72
Jaguar S-Type R,0,0,0,0,0,0,1,63120,57499,4.2,8,390,17,24,4046,115,192,72
Jaguar Vanden Plas,0,0,0,0,0,0,1,68995,62846,4.2,8,294,18,28,3803,119,200,73
Jaguar X-Type 2.5,0,0,0,0,0,1,0,29995,27355,2.5,6,192,18,26,3428,107,184,70
Jaguar X-Type 3.0,0,0,0,0,0,1,0,33995,30995,3.0,6,227,18,25,3516,107,184,70
Jaguar XJ8,0,0,0,0,0,0,1,59995,54656,4.2,8,294,18,28,3803,119,200,73
Jaguar XJR,0,0,0,0,0,0,1,74995,68306,4.2,8,390,17,24,3948,119,200,73
Jaguar XK8 coupe,1,0,0,0,0,0,1,69995,63756,4.2,8,294,18,26,3779,102,187,71
Jaguar XK8 convertible,1,0,0,0,0,0,1,74995,68306,4.2,8,294,18,26,3980,102,187,71
Jaguar XKR coupe,1,0,0,0,0,0,1,81995,74676,4.2,8,390,16,23,3865,102,187,71
Jaguar XKR convertible,1,0,0,0,0,0,1,86995,79226,4.2,8,390,16,23,4042,102,187,71
Jeep Grand Cherokee Laredo,0,1,0,0,0,0,0,27905,25686,4.0,6,195,16,21,3790,106,181,72
Jeep Liberty Sport,0,1,0,0,0,1,0,20130,18973,2.4,4,150,20,24,3826,104,174,72
Jeep Wrangler Sahara,0,1,0,0,0,1,0,25520,23275,4.0,6,190,16,19,3575,93,150,67
Kia Optima LX,0,0,0,0,0,0,0,16040,14910,2.4,4,138,23,30,3281,106,186,72
Kia Optima LX V6,0,0,0,0,0,0,0,18435,16850,2.7,6,170,20,27,3279,106,186,72
Kia Rio auto,0,0,0,0,0,0,0,11155,10705,1.6,4,104,25,32,2458,95,167,66
Kia Rio manual,0,0,0,0,0,0,0,10280,9875,1.6,4,104,26,33,2403,95,167,66
Kia Rio Cinco,0,0,1,0,0,0,0,11905,11410,1.6,4,104,26,33,2447,95,167,66
Kia Sedona LX,0,0,0,1,0,0,0,20615,19400,3.5,6,195,16,22,4802,115,194,75
Kia Sorento LX,0,1,0,0,0,0,0,19635,18630,3.5,6,192,16,19,4112,107,180,73
Kia Spectra,0,0,0,0,0,0,0,12360,11630,1.8,4,124,24,32,2661,101,178,68
Kia Spectra GS,0,0,0,0,0,0,0,13580,12830,1.8,4,124,24,32,2686,101,178,68
Kia Spectra GSX,0,0,0,0,0,0,0,14630,13790,1.8,4,124,24,32,2697,101,178,68
Land Rover Discovery SE,0,1,0,0,0,1,0,39250,35777,4.6,8,217,12,16,4576,100,185,74
Land Rover Freelander SE,0,1,0,0,0,1,0,25995,23969,2.5,6,174,18,21,3577,101,175,71
Land Rover Range Rover HSE,0,1,0,0,0,1,0,72250,65807,4.4,8,282,12,16,5379,113,195,76
Lexus ES 330,0,0,0,0,0,0,0,32350,28755,3.3,6,225,20,29,3460,107,191,71
Lexus GS 300,0,0,0,0,0,0,1,41010,36196,3.0,6,220,18,25,3649,110,189,71
Lexus GS 430,0,0,0,0,0,0,1,48450,42232,4.3,8,300,18,23,3715,110,189,71
Lexus GX 470,0,1,0,0,0,1,0,45700,39838,4.7,8,235,15,19,4740,110,188,74
Lexus IS 300 manual,0,0,0,0,0,0,1,31045,27404,3.0,6,215,18,25,3255,105,177,68
Lexus IS 300 auto,0,0,0,0,0,0,1,32415,28611,3.0,6,215,18,24,3285,105,177,68
Lexus IS 300 SportCross,0,0,1,0,0,0,1,32455,28647,3.0,6,215,18,24,3410,105,177,68
Lexus LS 430,0,0,0,0,0,0,1,55750,48583,4.3,8,290,18,25,3990,115,197,72
Lexus LX 470,0,1,0,0,0,1,0,64800,56455,4.7,8,235,13,17,5590,112,193,76
Lexus SC 430,1,0,0,0,0,0,1,63200,55063,4.3,8,300,18,23,3840,103,178,72
Lexus RX 330,0,1,0,0,0,1,0,39195,34576,3.3,6,230,18,24,4065,107,186,73
Lincoln Aviator Ultimate,0,1,0,0,0,0,0,42915,39443,4.6,8,302,13,18,4834,114,193,76
Lincoln LS V6 Luxury,0,0,0,0,0,0,1,32495,29969,3.0,6,232,20,26,3681,115,194,73
Lincoln LS V6 Premium,0,0,0,0,0,0,1,36895,33929,3.0,6,232,20,26,3681,115,194,73
Lincoln LS V8 Sport,0,0,0,0,0,0,1,40095,36809,3.9,8,280,17,24,3768,115,194,73
Lincoln LS V8 Ultimate,0,0,0,0,0,0,1,43495,39869,3.9,8,280,17,24,3768,115,194,73
Lincoln Navigator Luxury,0,1,0,0,0,1,0,52775,46360,5.4,8,300,13,18,5969,119,206,80
Lincoln Town Car Signature,0,0,0,0,0,0,1,41815,38418,4.6,8,239,17,25,4369,118,215,78
Lincoln Town Car Ultimate,0,0,0,0,0,0,1,44925,41217,4.6,8,239,17,25,4369,118,215,78
Lincoln Town Car Ultimate L,0,0,0,0,0,0,1,50470,46208,4.6,8,239,17,25,4474,124,221,78
Mazda6 i,0,0,0,0,0,0,0,19270,17817,2.3,4,160,24,32,3042,105,187,70
Mazda MPV ES,0,0,0,1,0,0,0,28750,26600,3.0,6,200,18,25,3812,112,188,72
Mazda MX-5 Miata,1,0,0,0,0,0,1,22388,20701,1.8,4,142,23,28,2387,89,156,66
Mazda MX-5 Miata LS,1,0,0,0,0,0,1,25193,23285,1.8,4,142,23,28,2387,89,156,66
Mazda Tribute DX 2.0,0,1,0,0,0,1,0,21087,19742,2.0,4,130,22,25,3091,103,173,72
Mercedes-Benz C32 AMG,0,0,0,0,0,0,1,52120,48522,3.2,6,349,16,21,3540,107,178,68
Mercedes-Benz C230 Sport,0,0,0,0,0,0,1,26060,24249,1.8,4,189,22,30,3250,107,178,68
Mercedes-Benz C240,0,0,1,0,0,0,1,33780,31466,2.6,6,168,19,25,3470,107,179,68
Mercedes-Benz C240 RWD,0,0,0,0,0,0,1,32280,30071,2.6,6,168,20,25,3360,107,178,68
Mercedes-Benz C240 AWD,0,0,0,0,0,1,0,33480,31187,2.6,6,168,19,25,3360,107,178,68
Mercedes-Benz C320,0,0,0,0,0,0,1,37630,35046,3.2,6,215,20,26,3450,107,178,68
Mercedes-Benz C320 Sport two-door,0,0,0,0,0,0,1,28370,26435,3.2,6,215,19,26,3430,107,178,68
Mercedes-Benz C320 Sport four-door,0,0,0,0,0,0,1,35920,33456,3.2,6,215,19,26,3430,107,178,68
Mercedes-Benz CL500,0,0,0,0,0,0,1,94820,88324,5.0,8,302,16,24,4085,114,196,73
Mercedes-Benz CL600,0,0,0,0,0,0,1,128420,119600,5.5,12,493,13,19,4473,114,196,73
Mercedes-Benz CLK320,0,0,0,0,0,0,1,45707,41966,3.2,6,215,20,26,3770,107,183,69
Mercedes-Benz CLK500,0,0,0,0,0,0,1,52800,49104,5.0,8,302,17,22,3585,107,183,69
Mercedes-Benz E320,0,0,1,0,0,0,1,50670,47174,3.2,6,221,19,27,3966,112,190,71
Mercedes-Benz E320 four-door,0,0,0,0,0,0,1,48170,44849,3.2,6,221,19,27,3635,112,190,71
Mercedes-Benz E500,0,0,1,0,0,1,0,60670,56474,5.0,8,302,16,24,4230,112,190,71
Mercedes-Benz E500 four-door,0,0,0,0,0,0,1,57270,53382,5.0,8,302,16,20,3815,112,190,71
Mercedes-Benz G500,0,1,0,0,0,1,0,76870,71540,5.0,8,292,13,14,5423,112,186,71
Mercedes-Benz ML500,0,1,0,0,0,1,0,46470,43268,5.0,8,288,14,17,4874,111,183,72
Mercedes-Benz S430,0,0,0,0,0,0,1,74320,69168,4.3,8,275,18,26,4160,122,203,73
Mercedes-Benz S500,0,0,0,0,0,1,0,86970,80939,5.0,8,302,16,24,4390,122,203,73
Mercedes-Benz SL500,1,0,0,0,0,0,1,90520,84325,5.0,8,302,16,23,4065,101,179,72
Mercedes-Benz SL55 AMG,1,0,0,0,0,0,1,121770,113388,5.5,8,493,14,21,4235,101,179,72
Mercedes-Benz SL600,1,0,0,0,0,0,1,126670,117854,5.5,12,493,13,19,4429,101,179,72
Mercedes-Benz SLK230,1,0,0,0,0,0,1,40320,37548,2.3,4,192,21,29,3055,95,158,68
Mercedes-Benz SLK32 AMG,1,0,0,0,0,0,1,56170,52289,3.2,6,349,17,22,3220,95,158,68
Mercury Grand Marquis GS,0,0,0,0,0,0,1,24695,23217,4.6,8,224,17,25,4052,115,212,78
Mercury Grand Marquis LS Premium,0,0,0,0,0,0,1,29595,27148,4.6,8,224,17,25,4052,115,212,78
Mercury Grand Marquis LS Ultimate,0,0,0,0,0,0,1,30895,28318,4.6,8,224,17,25,4052,115,212,78
Mercury Marauder,0,0,0,0,0,0,1,34495,31558,4.6,8,302,17,23,4195,115,212,78
Mercury Monterey Luxury,0,0,0,1,0,0,0,33995,30846,4.2,6,201,16,23,4340,121,202,77
Mercury Mountaineer,0,1,0,0,0,0,0,29995,27317,4.0,6,210,16,21,4374,114,190,72
Mercury Sable GS,0,0,1,0,0,0,0,22595,20748,3.0,6,155,19,26,3488,109,198,73
Mercury Sable GS four-door,0,0,0,0,0,0,0,21595,19848,3.0,6,155,20,27,3308,109,200,73
Mercury Sable LS Premium,0,0,0,0,0,0,0,23895,21918,3.0,6,201,19,26,3315,109,200,73
Mini Cooper,0,0,0,0,0,0,0,16999,15437,1.6,4,115,28,37,2524,97,143,67
Mini Cooper S,0,0,0,0,0,0,0,19999,18137,1.6,4,163,25,34,2678,97,144,67
